"","pdb_id","dataset","seed","recycle","rms_before_ref_align_seq_rec_bb","rms_before_ref_align_seq_rec","rms_before_ref_align_seq_pep_bb","rms_before_ref_align_seq_pep","rmsBB_if","rmsBB_allIF","rmsALL_if","rmsALL_allIF","rmsALL_CAPRI_if","rmsBB_CAPRI_if","rmsBB","common_residues_percent","max_in1A","max_in2.5A","max_in4A"
"23","2v8x_AB","approved","seed_0","recycle_9",0.81,1.63,0.33,1.57,0.72,0.327,1.461,0.996,1.056,0.394,0.65,0.86,6,14,14
"24","2wv5_CG","approved","seed_0","recycle_9",0.86,1.23,3.26,4.81,27.227,11.856,27.975,12.558,11.904,11.176,27.227,0.19,0,0,0
"25","2x72_AB","approved","seed_0","recycle_9",1.8,2.39,0.77,1.4,28.455,14.106,28.749,14.593,13.882,13.596,28.498,0,0,0,0
"26","2xyi_AB","approved","seed_0","recycle_9",0.58,1.04,0.18,0.95,0.733,0.644,1.307,1.359,1.297,0.619,0.8,0.48,4,14,14
"27","2z5n_AB","approved","seed_0","recycle_9",2.75,2.99,2.99,5.17,16.547,7.623,17.554,8.512,8.715,7.841,15.846,0.19,0,0,4
"28","2z9i_AG","approved","seed_0","recycle_9",1.36,1.78,0.45,0.84,0.616,0.372,0.993,0.816,0.891,0.338,0.616,0.12,4,4,4
"29","3ask_AP","approved","seed_0","recycle_9",2.54,2.84,1.79,2.45,9.502,5.812,10.556,6.52,6.095,5.246,9.165,0.13,0,0,0
"30","3ayu_AB","approved","seed_0","recycle_9",0.68,1.13,1.65,3.47,14.048,7.519,14.918,7.772,7.5,7.091,13.417,0.88,8,10,10
"31","3brh_AC","approved","seed_0","recycle_9",0.81,1.31,1.99,3.07,13.518,6.581,14.864,7.714,8.125,7.135,13.518,0,0,0,0
"32","3c3o_AB","approved","seed_0","recycle_9",1.01,1.58,0.74,1.5,0.958,0.603,1.057,0.917,1.022,0.627,0.84,1,0,13,13
"33","3cvl_AB","approved","seed_0","recycle_9",1.4,1.86,0.61,1.15,0.858,0.513,1.307,0.865,0.826,0.487,0.858,0.24,4,5,5
"34","3dnj_AC","approved","seed_0","recycle_9",0.31,1.06,0.46,0.79,16.758,5.968,15.842,6.274,6.59,6.258,16.758,0,0,0,0
"35","3n2d_AB","approved","seed_0","recycle_9",0.49,0.97,2.86,3.9,10.335,5.091,10.73,5.099,5.31,5.211,10.335,0.55,0,0,0
"36","3n55_AB","approved","seed_0","recycle_9",0.74,1.12,0.74,1.19,1.086,0.736,1.703,1.421,1.471,0.737,1.086,0.96,0,7,7
"37","3n5u_AC","approved","seed_0","recycle_9",0.62,1.06,1.29,2.33,2.012,1.035,2.732,1.711,1.785,1.028,1.95,0.38,0,6,7
"38","3nih_AB","approved","seed_0","recycle_9",0.57,1.17,0.42,1.51,5.239,2.183,5.831,2.683,2.588,2.181,5.239,0.47,0,0,0
"39","3pkn_AB","approved","seed_0","recycle_9",0.98,1.52,2.83,4.69,5.3,2.415,7.14,3.89,3.863,2.404,5.373,0.68,5,9,9
"40","3r42_AB","approved","seed_0","recycle_9",2.01,2.56,1.73,3.36,27.459,11.461,27.668,12.185,12.425,11.55,26.941,0.31,0,0,0
"41","3r7g_AB","approved","seed_0","recycle_9",1.57,1.92,4.92,6.17,5.799,4.437,7.322,5.353,4.861,3.83,6.241,0.22,0,6,8
"42","3rc4_AB","approved","seed_0","recycle_9",1.4,1.96,1.32,1.77,28.342,11.172,28.555,11.72,11.067,10.936,28.342,0,0,0,0
"43","3ro3_AB","approved","seed_0","recycle_9",0.6,1.1,2.56,3.55,29.038,14.911,29.091,14.965,15.661,15.543,28.202,0.04,0,0,9
"44","3t6j_AB","approved","seed_0","recycle_9",0.78,1.3,0.86,2.59,3.693,1.502,7.083,3.289,3.445,1.617,3.693,0.54,0,0,4
"45","3ufm_AB","approved","seed_0","recycle_9",0.49,1.01,0.5,2.31,26.638,11.651,26.358,11.737,11.494,11.053,28.422,0,0,4,4
"46","3v7d_BE","approved","seed_0","recycle_9",1.33,1.66,2.68,4.15,17.525,8.393,18.14,8.166,8.326,8.374,15.665,0.36,0,0,0
"47","3vxw_AB","approved","seed_0","recycle_9",1.27,1.56,0.56,1.02,0.606,0.434,1.123,1.15,1.066,0.403,0.606,1,5,6,6
"48","4aph_AP","approved","seed_0","recycle_9",0.94,1.31,1.18,2.71,3.489,1.648,6.421,3.023,2.997,1.561,3.489,0.62,0,0,0
"49","4bta_AC","approved","seed_0","recycle_9",1.48,1.92,1.22,1.12,1.803,0.779,1.916,1.241,1.277,0.798,1.803,0.74,0,9,9
"50","4cu4_AB","approved","seed_0","recycle_9",1.63,1.99,11.04,11.51,15.272,9.872,15.754,9.744,9.177,9.129,14.91,0.17,0,0,7
"51","4cy3_AD","approved","seed_0","recycle_9",0.54,0.92,0.43,1.29,0.649,0.43,1.143,1.126,0.985,0.431,0.64,0.93,5,9,9
"52","4dcb_AF","approved","seed_0","recycle_9",1.22,1.65,7.24,7.58,15.891,7.863,16.914,7.925,7.738,7.725,15.256,0.13,0,0,0
"53","4fvd_AC","approved","seed_0","recycle_9",1.01,1.39,1.33,1.68,13.696,5.306,13.992,5.27,5.166,5.05,13.696,0.62,0,0,0
"54","4j86_BD","approved","seed_0","recycle_9",0.49,0.89,3.43,5.28,9.61,4.203,11.111,4.691,5.505,4.768,8.788,0.12,0,0,0
"55","4k0u_AB","approved","seed_0","recycle_9",0.46,0.86,1.36,3.41,1.706,1.066,3.939,2.522,2.567,1.019,1.524,1,7,14,15
"56","4ka7_AC","approved","seed_0","recycle_9",0.79,1.17,0.96,0.99,4.045,1.858,4.646,1.863,1.781,1.611,4.045,0.82,0,0,0
"57","4mn8_AC","approved","seed_0","recycle_9",0.93,1.38,4.8,6.14,41.139,22.103,39.37,22.306,16.574,17.946,44.187,0,0,0,0
"58","4piq_AB","approved","seed_0","recycle_9",0.64,1.11,0.47,1.61,0.537,0.479,1.705,1.303,1.212,0.47,0.537,0.97,4,11,11
"59","4rs9_AB","approved","seed_0","recycle_9",1.76,2.28,2.24,2.75,15.197,8.573,16.13,9.605,8.695,7.726,16.095,0.13,6,18,19
"60","4tjx_AB","approved","seed_0","recycle_9",1,1.53,0.99,1.83,10.414,4.634,10.181,4.388,4.282,4.487,10.414,0.25,0,0,0
"61","4tzm_AC","approved","seed_0","recycle_9",4.21,4.7,1.75,4.58,16.758,7.067,17.355,8.107,9.295,8.916,16.758,0.53,0,7,8
"62","4w50_BF","approved","seed_0","recycle_9",3.57,3.84,1.89,3.5,37.761,17.16,37.388,17.591,17.813,17.33,37.967,0,0,0,0
"63","4x3h_AB","approved","seed_0","recycle_9",4.39,4.47,1.44,3.45,4.842,9.593,6.073,9.78,9.552,9.073,5.16,0.46,0,0,0
"64","4xal_AB","approved","seed_0","recycle_9",1.63,2.25,1.37,2.41,34.072,14.749,34.691,15.011,14.577,14.379,34.072,0,0,0,0
"65","4xob_AB","approved","seed_0","recycle_9",5.03,5.15,1.75,2.41,5.326,1.999,6.211,1.989,2.064,2.144,5.326,0.94,0,6,11
"66","4z2o_AP","approved","seed_0","recycle_9",1.06,1.51,4.13,5.33,11.458,6.092,11.632,6.306,6.722,6.459,13.06,0.7,0,0,0
"67","5a29_AB","approved","seed_0","recycle_9",1.05,1.53,6.52,8.11,40.284,19.117,38.242,18.236,18.502,19.594,41.346,0,0,0,0
"68","5frs_AC","approved","seed_0","recycle_9",1.57,2.12,4.32,5.78,32.887,15.67,34.385,15.924,15.857,15.243,30.726,0,0,0,0
"69","5fxc_HP","approved","seed_0","recycle_9",0.78,1.18,0.99,1.61,8.75,6.479,9.564,6.352,5.134,4.966,9.704,0.39,0,0,0
"70","5gr9_BC","approved","seed_0","recycle_9",1.35,1.57,2.56,3.67,17.227,9.535,18.668,9.688,9.522,9.199,16.59,0,0,0,0
"71","5jiu_BD","approved","seed_0","recycle_9",0.74,1.23,3.38,5.01,28.511,11.449,28.74,11.108,10.919,11.006,30.82,0,0,0,0
"72","5l9b_AC","approved","seed_0","recycle_9",1.19,1.44,1.01,1.88,0.828,0.782,1.943,1.48,1.611,0.977,1.049,0.9,6,18,18
"73","5lm1_AB","approved","seed_0","recycle_9",2.82,2.98,1.88,2.67,18.283,9.031,18.751,9.483,10.112,9.578,17.802,0,0,10,10
"74","5n85_AB","approved","seed_0","recycle_9",1.45,2.03,1.86,2.73,2.979,1.887,3.306,2.475,2.29,1.819,2.95,0.68,0,10,12
"75","5njx_AB","approved","seed_0","recycle_9",2.01,2.24,3.1,4.92,15.779,6.787,15.778,6.951,8.036,7.866,16.087,0,0,0,0
"76","5onp_AB","approved","seed_0","recycle_9",0.39,0.83,2.5,3.69,6.757,3.352,6.871,3.076,2.87,3.068,6.757,0.59,0,0,0
"77","5vao_CH","approved","seed_0","recycle_9",8.23,8.05,1.09,1.83,1.19,1.005,1.755,1.486,1.079,0.646,1.781,0.92,9,11,11
"78","5wir_BD","approved","seed_0","recycle_9",1.59,2.21,1.62,3.48,1.762,1.157,3.507,2.282,2.347,1.142,1.762,0.29,0,5,7
"79","5y59_BC","approved","seed_0","recycle_9",1.58,2.18,1.73,2.78,33.458,13.629,33.346,15.058,14.712,13.594,34.208,0,0,0,0
"80","5yc2_AB","approved","seed_0","recycle_9",2.62,2.77,6.28,7.21,48.915,20.443,49.967,21.387,21.416,20.386,48.484,0,0,8,14
"81","6a30_AP","approved","seed_0","recycle_9",3.2,3.57,2.4,4.47,6.973,3.512,9.076,5.529,4.975,2.753,6.598,0,0,0,0
"82","6cct_AB","approved","seed_0","recycle_9",1.42,1.61,0.75,1.09,9.891,4.202,10.158,4.484,3.977,3.69,9.891,0.38,0,0,0
"83","6e3d_AB","approved","seed_0","recycle_9",1.22,1.43,0.92,1.72,36.145,14.409,35.514,13.28,13.321,14.105,36.145,0,0,0,0
"84","6efk_AD","approved","seed_0","recycle_9",0.76,1.4,0.51,1.05,0.911,0.554,1.606,1.031,1.049,0.523,0.911,0.87,0,5,5
"85","6fc6_AB","approved","seed_0","recycle_9",0.55,0.97,0.59,0.9,0.865,0.478,1.697,1.129,1.04,0.5,0.865,0.94,0,0,0
"86","6fq4_AB","approved","seed_0","recycle_9",0.91,1.59,1,1.5,0.723,0.653,1.541,0.974,1.094,0.484,1.027,0.86,12,16,16
"87","6g86_BC","approved","seed_0","recycle_9",1.45,1.76,2.4,3.24,33.733,16.205,33.515,16.325,15.98,16.416,33.084,0,0,0,0
"88","6hgt_DH","approved","seed_0","recycle_9",0.77,1.08,1.33,1.74,8.344,3.42,8.439,3.564,3.541,3.445,8.344,0.19,0,0,0
"89","6j0x_AE","approved","seed_0","recycle_9",1.93,2.31,2.4,3.52,4.85,2.291,6.116,3.339,3.443,2.362,4.764,0.32,0,0,5
"90","6mlc_AE","approved","seed_0","recycle_9",6.42,6.92,1.5,2.55,5.792,2.783,8.782,4.763,4.799,2.709,5.792,0.39,0,6,6
"91","6n3e_AB","approved","seed_0","recycle_9",0.74,1.58,1.44,3.06,5.614,2.639,5.957,3.045,3.206,2.798,5.614,0.4,0,7,7
"92","6pj8_AB","approved","seed_0","recycle_9",0.62,1.38,0.84,1.65,57.547,22.094,59.302,23.028,22.701,21.69,57.547,0,0,0,0
"93","6qg8_AB","approved","seed_0","recycle_9",0.79,1.29,0.71,1.35,1.165,0.716,1.848,1.307,1.272,0.678,1.386,0.43,0,19,19
"94","6sa8_AB","approved","seed_0","recycle_9",1.69,1.95,1.26,3.51,27.334,10.663,27.551,11.622,12.225,11.348,27.334,0,0,0,0
"95","6seo_AL","approved","seed_0","recycle_9",1.1,1.68,0.63,1.09,0.901,0.609,1.248,1.112,0.988,0.574,1.008,0.04,10,16,16
