"","pdb_id","dataset","seed","recycle","rms_before_ref_align_seq_rec_bb","rms_before_ref_align_seq_rec","rms_before_ref_align_seq_pep_bb","rms_before_ref_align_seq_pep","rmsBB_if","rmsBB_allIF","rmsALL_if","rmsALL_allIF","rmsALL_CAPRI_if","rmsBB_CAPRI_if","rmsBB","common_residues_percent","max_in1A","max_in2.5A","max_in4A"
"86","6fc6_AB","approved","seed_0","recycle_9",0.51,0.95,0.58,0.89,0.88,0.471,1.695,1.116,1.02,0.488,0.88,0.94,0,0,0
"87","6fq4_AB","approved","seed_0","recycle_9",0.9,1.58,1,1.34,0.641,0.646,1.491,0.956,1.07,0.479,0.943,0.14,13,16,16
"88","6g86_BC","approved","seed_0","recycle_9",1.49,1.71,1.43,2.35,2.36,1.471,2.733,1.862,1.794,1.361,2.357,0.21,0,8,11
"89","6hgt_DH","approved","seed_0","recycle_9",0.8,1.12,1.37,1.82,15.797,6.433,15.761,6.524,6.5,6.493,15.797,0,0,0,0
"90","6j0x_AE","approved","seed_0","recycle_9",2.03,2.36,3.15,4.18,8.992,4.839,10.478,5.653,5.8,4.904,9.339,0.23,0,6,7
"91","6mlc_AE","approved","seed_0","recycle_9",6.35,6.83,0.52,0.96,0.847,0.5,1.478,1.178,1.22,0.51,0.847,0.74,0,6,6
"92","6n3e_AB","approved","seed_0","recycle_9",0.55,1.35,0.38,0.7,0.659,0.407,0.888,0.795,0.767,0.434,0.659,0.4,7,7,7
"93","6pj8_AB","approved","seed_0","recycle_9",0.84,1.61,0.78,1.53,30.844,11.879,31.244,12.113,11.921,11.624,30.844,0,0,0,0
"94","6qg8_AB","approved","seed_0","recycle_9",0.8,1.3,0.7,1.39,1.15,0.695,1.779,1.296,1.263,0.657,1.35,0.43,4,19,19
"95","6sa8_AB","approved","seed_0","recycle_9",2.1,2.35,3.82,6.75,31.504,12.788,33.189,14.803,15.871,13.686,31.504,0,0,0,0
"96","6seo_AL","approved","seed_0","recycle_9",1.1,1.66,0.62,1.1,0.757,0.552,1.074,1.081,0.933,0.52,0.906,0.04,12,16,16
